"uniprotids","Entanglement","Length","Essential","Total_Mutations_n","Path_Mutations_m","p_hat_m_div_n"
"O95140","Yes",757,"No",132,126,0.954545454545455
"O95255","Yes",1503,"No",129,93,0.720930232558139
"O95299","Yes",355,"No",10,5,0.5
"O95342","Yes",1321,"No",104,71,0.682692307692308
"O95363","Yes",451,"No",33,23,0.696969696969697
"O95394","Yes",542,"No",14,7,0.5
"O95398","Yes",923,"No",11,0,0
"O95427","Yes",931,"No",23,12,0.521739130434783
"O95436","Yes",690,"No",11,1,0.0909090909090909
"O95477","Yes",2261,"No",74,16,0.216216216216216
"O95479","Yes",791,"No",27,1,0.037037037037037
"O95497","Yes",513,"No",15,0,0
"O95571","Yes",254,"No",21,19,0.904761904761905
"O95622","Yes",1261,"No",59,25,0.423728813559322
"O95786","Yes",925,"No",23,5,0.217391304347826
"O95822","Yes",493,"No",19,5,0.263157894736842
"O95831","Yes",613,"No",61,39,0.639344262295082
"O95954","Yes",541,"No",15,0,0
"O95967","No",443,"No",17,13,0.764705882352941
"O96007","Yes",188,"No",14,3,0.214285714285714
"O96017","Yes",543,"No",17,9,0.529411764705882
"P00156","Yes",380,"NT",135,3,0.0222222222222222
"P00367","Yes",558,"No",23,14,0.608695652173913
"P00387","Yes",301,"No",18,15,0.833333333333333
"P00395","No",513,"NT",74,6,0.0810810810810811
"P00403","Yes",227,"NT",45,3,0.0666666666666667
"P00414","No",261,"NT",69,1,0.0144927536231884
"P00439","Yes",452,"No",466,465,0.997854077253219
"P00441","No",154,"Yes",101,101,1
"P00450","Yes",1065,"No",31,12,0.387096774193548
"P00480","Yes",354,"No",284,271,0.954225352112676
"P00491","Yes",289,"No",13,9,0.692307692307692
"P00492","Yes",218,"No",36,35,0.972222222222222
"P00533","Yes",1210,"No",30,14,0.466666666666667
"P00558","Yes",417,"Yes",31,15,0.483870967741935
"P00734","Yes",622,"No",29,22,0.758620689655172
"P00751","Yes",764,"No",13,1,0.0769230769230769
"P00797","Yes",406,"No",10,7,0.7
"P00813","Yes",363,"No",50,42,0.84
"P00846","No",226,"NT",168,16,0.0952380952380952
"P00966","Yes",412,"No",63,59,0.936507936507937
"P00995","Yes",79,"No",13,3,0.230769230769231
"P01019","Yes",485,"No",14,2,0.142857142857143
"P01024","Yes",1663,"No",16,9,0.5625
"P01112","Yes",189,"No",35,28,0.8
"P01116","Yes",189,"No",64,61,0.953125
"P01127","Yes",241,"No",14,7,0.5
"P01130","Yes",860,"No",731,687,0.939808481532148
"P01137","Yes",390,"No",15,11,0.733333333333333
"P01185","No",164,"No",27,22,0.814814814814815
"P01241","Yes",217,"No",17,11,0.647058823529412
"P01911","No",266,"No",17,1,0.0588235294117647
"P02545","No",664,"No",207,206,0.995169082125604
"P02647","No",267,"No",21,17,0.80952380952381
"P02649","No",317,"No",21,16,0.761904761904762
"P02730","Yes",911,"No",45,33,0.733333333333333
"P02753","Yes",201,"No",10,10,1
"P02765","No",367,"No",13,1,0.0769230769230769
"P02766","Yes",147,"No",111,108,0.972972972972973
"P02774","No",474,"No",12,4,0.333333333333333
"P02787","Yes",698,"No",19,6,0.315789473684211
"P02788","Yes",710,"No",14,0,0
"P03886","No",318,"NT",83,11,0.132530120481928
"P03891","Yes",347,"NT",92,1,0.0108695652173913
"P03897","No",115,"NT",22,3,0.136363636363636
"P03901","No",98,"NT",14,2,0.142857142857143
"P03905","Yes",459,"NT",60,2,0.0333333333333333
"P03915","Yes",603,"NT",159,9,0.0566037735849057
"P03923","No",174,"NT",58,10,0.172413793103448
"P03928","No",68,"NT",36,0,0
"P03950","No",147,"No",11,7,0.636363636363636
"P04062","Yes",536,"No",113,109,0.964601769911504
"P04066","Yes",466,"No",26,9,0.346153846153846
"P04114","No",1400,"No",102,2,0.0196078431372549
"P04180","Yes",440,"No",31,21,0.67741935483871
"P04350","Yes",444,"No",48,43,0.895833333333333
"P04424","Yes",464,"No",94,89,0.946808510638298
"P04440","No",258,"No",15,0,0
"P04637","Yes",393,"No",335,209,0.623880597014925
"P04798","Yes",512,"No",13,0,0
"P04839","Yes",570,"No",89,56,0.629213483146067
"P05062","Yes",364,"No",23,20,0.869565217391304
"P05089","Yes",322,"No",22,21,0.954545454545455
"P05093","Yes",508,"No",59,53,0.898305084745763
"P05108","Yes",521,"No",19,14,0.736842105263158
"P05164","Yes",745,"No",14,6,0.428571428571429
"P05165","Yes",728,"No",47,39,0.829787234042553
"P05166","No",539,"No",70,65,0.928571428571429
"P05186","Yes",524,"No",230,224,0.973913043478261
"P05362","No",532,"No",10,0,0
"P06132","Yes",367,"No",16,14,0.875
"P06213","Yes",1382,"No",44,36,0.818181818181818
"P06276","Yes",602,"No",13,9,0.692307692307692
"P06280","Yes",429,"No",249,241,0.967871485943775
"P06396","Yes",782,"No",34,5,0.147058823529412
"P06737","Yes",847,"No",26,19,0.730769230769231
"P06858","Yes",475,"No",71,62,0.873239436619718
"P06865","Yes",529,"No",67,62,0.925373134328358
"P07101","Yes",528,"No",32,27,0.84375
"P07196","No",543,"No",22,17,0.772727272727273
"P07237","Yes",508,"No",17,2,0.117647058823529
"P07333","Yes",972,"No",108,38,0.351851851851852
"P07602","Yes",524,"No",23,17,0.739130434782609
"P07686","Yes",556,"No",36,24,0.666666666666667
"P07741","Yes",180,"No",30,27,0.9
"P07858","Yes",339,"No",17,0,0
"P07902","Yes",379,"No",127,125,0.984251968503937
"P07911","Yes",640,"No",106,92,0.867924528301887
"P07954","Yes",510,"No",153,148,0.967320261437909
"P07988","No",381,"No",16,4,0.25
"P08069","Yes",1367,"No",29,17,0.586206896551724
"P08183","Yes",1280,"No",10,2,0.2
"P08236","Yes",651,"No",32,26,0.8125
"P08237","Yes",780,"No",13,9,0.692307692307692
"P08243","Yes",561,"No",32,29,0.90625
"P08397","Yes",361,"No",51,48,0.941176470588235
"P08473","Yes",750,"No",16,8,0.5
"P08559","Yes",390,"No",87,72,0.827586206896552
"P08575","Yes",1306,"No",14,1,0.0714285714285714
"P08686","Yes",494,"No",65,59,0.907692307692308
"P08709","Yes",466,"No",54,47,0.87037037037037
"P09417","Yes",244,"No",26,26,1
"P09467","Yes",338,"No",19,14,0.736842105263158
"P09619","Yes",1106,"No",103,19,0.184466019417476
"P09622","Yes",509,"No",19,16,0.842105263157895
"P09848","Yes",1927,"No",16,4,0.25
"P09874","Yes",1014,"No",11,0,0
"P09884","Yes",1462,"Yes",55,7,0.127272727272727
"P10253","Yes",952,"No",232,213,0.918103448275862
"P10515","Yes",647,"No",16,1,0.0625
"P10586","Yes",1907,"No",16,0,0
"P10619","Yes",480,"No",13,11,0.846153846153846
"P10644","Yes",381,"No",13,11,0.846153846153846
"P10721","Yes",976,"No",39,30,0.769230769230769
"P10746","Yes",265,"No",22,15,0.681818181818182
"P11150","Yes",499,"No",11,3,0.272727272727273
"P11166","Yes",492,"No",113,106,0.938053097345133
"P11168","Yes",524,"No",17,10,0.588235294117647
"P11177","Yes",359,"No",12,10,0.833333333333333
"P11182","Yes",482,"No",36,24,0.666666666666667
"P11215","Yes",1152,"No",15,0,0
"P11217","Yes",842,"No",50,45,0.9
"P11310","Yes",421,"No",117,115,0.982905982905983
"P11362","Yes",822,"No",109,92,0.844036697247706
"P11413","Yes",515,"No",197,193,0.979695431472081
"P11473","Yes",427,"No",19,16,0.842105263157895
"P11498","Yes",1178,"No",53,18,0.339622641509434
"P11511","Yes",503,"No",15,7,0.466666666666667
"P11586","Yes",935,"No",14,4,0.285714285714286
"P11597","Yes",493,"No",18,0,0
"P11717","Yes",2491,"No",29,3,0.103448275862069
"P12235","Yes",298,"No",14,11,0.785714285714286
"P12644","Yes",408,"No",12,5,0.416666666666667
"P12694","Yes",445,"No",55,47,0.854545454545454
"P12821","Yes",1306,"No",36,5,0.138888888888889
"P12830","No",882,"No",118,22,0.186440677966102
"P12955","Yes",493,"No",21,9,0.428571428571429
"P13473","Yes",410,"No",19,6,0.315789473684211
"P13498","No",195,"No",13,9,0.692307692307692
"P13686","Yes",325,"No",14,7,0.5
"P13797","Yes",630,"No",10,4,0.4
"P13866","Yes",664,"No",18,12,0.666666666666667
"P14136","No",432,"No",74,62,0.837837837837838
"P14410","Yes",1827,"No",30,6,0.2
"P14679","Yes",529,"No",131,126,0.961832061068702
"P14780","Yes",707,"No",10,1,0.1
"P14867","Yes",456,"No",71,54,0.76056338028169
"P15104","Yes",373,"No",14,7,0.5
"P15313","Yes",513,"No",14,9,0.642857142857143
"P15538","Yes",503,"No",57,48,0.842105263157895
"P15735","Yes",406,"No",10,10,1
"P15848","Yes",533,"No",95,86,0.905263157894737
"P15918","Yes",1043,"No",81,61,0.753086419753086
"P16219","Yes",412,"No",34,27,0.794117647058823
"P16410","No",223,"No",16,15,0.9375
"P16422","Yes",314,"No",25,4,0.16
"P16435","Yes",677,"No",17,14,0.823529411764706
"P16615","Yes",1042,"Yes",40,33,0.825
"P16930","Yes",419,"No",37,34,0.918918918918919
"P17301","Yes",1181,"No",28,0,0
"P17405","Yes",631,"No",145,133,0.917241379310345
"P17643","Yes",537,"No",14,9,0.642857142857143
"P17735","Yes",454,"No",12,8,0.666666666666667
"P17900","Yes",193,"No",10,4,0.4
"P18074","Yes",760,"Yes",32,25,0.78125
"P18428","Yes",481,"No",18,0,0
"P18507","Yes",467,"No",45,35,0.777777777777778
"P18858","Yes",919,"No",20,1,0.05
"P19099","Yes",503,"No",34,13,0.382352941176471
"P19224","Yes",532,"No",16,13,0.8125
"P19367","Yes",917,"No",18,14,0.777777777777778
"P19438","No",455,"No",43,30,0.697674418604651
"P19440","Yes",569,"No",11,0,0
"P19838","Yes",968,"No",21,6,0.285714285714286
"P19971","Yes",482,"No",51,42,0.823529411764706
"P20585","Yes",1137,"No",20,1,0.05
"P20700","No",586,"No",16,5,0.3125
"P20711","Yes",480,"No",40,32,0.8
"P20933","Yes",346,"No",24,16,0.666666666666667
"P21397","Yes",527,"No",10,4,0.4
"P21439","Yes",1286,"No",42,35,0.833333333333333
"P21549","Yes",392,"No",138,128,0.927536231884058
"P21583","No",273,"No",11,8,0.727272727272727
"P21802","Yes",821,"No",94,84,0.893617021276596
"P21912","Yes",280,"No",78,71,0.91025641025641
"P21953","Yes",392,"No",63,60,0.952380952380952
"P22033","Yes",750,"No",158,151,0.955696202531646
"P22105","No",1400,"No",36,2,0.0555555555555556
"P22304","Yes",550,"No",357,310,0.868347338935574
"P22413","Yes",925,"No",35,25,0.714285714285714
"P22557","Yes",587,"No",41,29,0.707317073170732
"P22735","Yes",817,"No",103,84,0.815533980582524
"P22830","Yes",423,"No",20,11,0.55
"P23378","Yes",1020,"No",143,125,0.874125874125874
"P23526","Yes",432,"Yes",12,8,0.666666666666667
"P23786","Yes",658,"No",36,26,0.722222222222222
"P24752","Yes",427,"No",56,53,0.946428571428571
"P25092","Yes",1073,"No",17,8,0.470588235294118
"P25445","No",335,"No",38,33,0.868421052631579
"P25705","Yes",553,"No",11,4,0.363636363636364
"P26439","Yes",372,"No",23,18,0.782608695652174
"P26440","Yes",426,"No",49,46,0.938775510204082
"P27352","Yes",417,"No",10,2,0.2
"P27708","Yes",2225,"No",12,4,0.333333333333333
"P27986","Yes",724,"No",15,11,0.733333333333333
"P28062","Yes",276,"No",10,4,0.4
"P28331","Yes",727,"No",16,16,1
"P28340","Yes",1107,"Yes",27,3,0.111111111111111
"P28482","Yes",360,"No",14,13,0.928571428571429
"P28799","No",593,"No",15,6,0.4
"P29120","Yes",753,"No",21,11,0.523809523809524
"P29466","Yes",404,"No",10,0,0
"P29474","Yes",1203,"No",19,2,0.105263157894737
"P29475","Yes",1434,"No",15,0,0
"P29597","Yes",1187,"No",22,3,0.136363636363636
"P29965","Yes",261,"No",41,29,0.707317073170732
"P29992","Yes",359,"No",14,13,0.928571428571429
"P30038","Yes",563,"No",13,0,0
"P30084","No",290,"No",45,42,0.933333333333333
"P30279","Yes",289,"No",11,8,0.727272727272727
"P30518","Yes",371,"No",70,40,0.571428571428571
"P30530","Yes",894,"No",18,1,0.0555555555555556
"P30531","Yes",599,"No",130,72,0.553846153846154
"P30566","Yes",484,"Yes",33,27,0.818181818181818
"P30613","Yes",574,"No",48,48,1
"P30793","No",250,"No",34,33,0.970588235294118
"P30926","Yes",498,"No",12,3,0.25
"P31040","Yes",664,"No",28,23,0.821428571428571
"P31213","Yes",254,"No",48,40,0.833333333333333
"P31327","Yes",1500,"No",101,51,0.504950495049505
"P31415","Yes",396,"No",11,4,0.363636363636364
"P31513","Yes",532,"No",34,20,0.588235294117647
"P31639","Yes",672,"No",13,12,0.923076923076923
"P31785","Yes",369,"No",75,47,0.626666666666667
"P31939","Yes",592,"No",14,1,0.0714285714285714
"P32245","No",332,"No",31,28,0.903225806451613
"P32322","No",319,"No",20,16,0.8
"P33897","Yes",745,"No",264,198,0.75
"P34059","Yes",522,"No",117,106,0.905982905982906
"P34913","Yes",555,"No",11,0,0
"P34949","Yes",423,"No",20,14,0.7
"P35222","No",781,"No",30,22,0.733333333333333
"P35228","Yes",1153,"No",12,0,0
"P35442","Yes",1172,"No",22,1,0.0454545454545455
"P35475","Yes",653,"No",94,79,0.840425531914894
"P35499","Yes",1836,"No",121,103,0.851239669421488
"P35520","Yes",551,"No",110,106,0.963636363636364
"P35555","Yes",1271,"No",641,613,0.956318252730109
"P35557","Yes",465,"No",310,300,0.967741935483871
"P35558","Yes",622,"No",12,1,0.0833333333333333
"P35573","Yes",1532,"No",31,15,0.483870967741935
"P35575","Yes",357,"No",65,62,0.953846153846154
"P35670","Yes",1465,"No",221,199,0.900452488687783
"P35858","No",605,"No",15,3,0.2
"P35914","Yes",325,"No",16,13,0.8125
"P36551","Yes",454,"No",19,8,0.421052631578947
"P36776","Yes",959,"Yes",77,8,0.103896103896104
"P36871","Yes",562,"No",15,9,0.6
"P36894","Yes",532,"No",27,24,0.888888888888889
"P36897","Yes",503,"No",58,50,0.862068965517241
"P37058","Yes",310,"No",26,22,0.846153846153846
"P37088","Yes",669,"No",13,3,0.230769230769231
"P37173","Yes",567,"No",108,99,0.916666666666667
"P37231","Yes",505,"No",24,20,0.833333333333333
"P37287","Yes",484,"No",41,22,0.536585365853659
"P37837","Yes",337,"No",10,6,0.6
"P38571","Yes",399,"No",49,42,0.857142857142857
"P38606","Yes",617,"Yes",23,20,0.869565217391304
"P38935","Yes",993,"No",53,32,0.60377358490566
"P39210","No",176,"No",17,16,0.941176470588235
"P40692","Yes",756,"No",214,180,0.841121495327103
"P40763","No",770,"No",107,84,0.785046728971963
"P40879","Yes",764,"No",40,21,0.525
"P40939","Yes",763,"No",27,17,0.62962962962963
"P41002","Yes",786,"No",17,3,0.176470588235294
"P41180","Yes",1078,"No",130,120,0.923076923076923
"P41227","Yes",235,"Yes",29,26,0.896551724137931
"P41235","Yes",474,"No",67,59,0.880597014925373
"P42224","No",750,"No",67,66,0.985074626865672
"P42336","Yes",1068,"No",80,74,0.925
"P42345","Yes",2549,"Yes",269,41,0.152416356877323
"P42658","Yes",865,"No",13,0,0
"P42704","No",1394,"No",31,7,0.225806451612903
"P42892","Yes",770,"No",10,4,0.4
"P42898","Yes",656,"No",60,47,0.783333333333333
"P43004","Yes",574,"No",67,8,0.119402985074627
"P43235","Yes",329,"No",30,26,0.866666666666667
"P43246","Yes",934,"No",396,135,0.340909090909091
"P43403","Yes",619,"No",10,5,0.5
"P43681","Yes",627,"No",77,5,0.0649350649350649
"P45379","No",298,"No",55,52,0.945454545454545
"P45381","Yes",313,"No",59,53,0.898305084745763
"P46019","Yes",1235,"No",64,23,0.359375
"P46020","Yes",1223,"No",13,2,0.153846153846154
"P47712","Yes",749,"No",13,3,0.230769230769231
"P47989","Yes",1333,"No",26,1,0.0384615384615385
"P48029","Yes",635,"No",75,33,0.44
"P48728","Yes",403,"No",40,36,0.9
"P48736","Yes",1102,"No",12,3,0.25
"P49279","Yes",550,"No",13,0,0
"P49327","Yes",2511,"No",60,0,0
"P49588","Yes",968,"Yes",38,16,0.421052631578947
"P49675","Yes",285,"No",20,17,0.85
"P49748","Yes",655,"No",148,142,0.959459459459459
"P49768","No",467,"No",121,117,0.966942148760331
"P49770","Yes",351,"Yes",17,14,0.823529411764706
"P49821","Yes",464,"No",26,22,0.846153846153846
"P49917","Yes",911,"No",32,19,0.59375
"P49959","Yes",708,"No",27,4,0.148148148148148
"P50281","Yes",582,"No",12,2,0.166666666666667
"P50336","Yes",477,"No",20,17,0.85
"P50416","Yes",773,"No",37,20,0.540540540540541
"P50440","Yes",423,"No",16,8,0.5
"P50747","Yes",726,"No",29,16,0.551724137931034
"P50897","Yes",306,"No",48,45,0.9375
"P50995","No",505,"No",25,3,0.12
"P51159","Yes",221,"No",16,15,0.9375
"P51451","Yes",505,"No",18,2,0.111111111111111
"P51530","Yes",1060,"Yes",21,5,0.238095238095238
"P51570","Yes",392,"No",14,11,0.785714285714286
"P51648","Yes",485,"No",43,35,0.813953488372093
"P51649","Yes",535,"No",65,54,0.830769230769231
"P51659","Yes",736,"No",49,37,0.755102040816326
"P51687","Yes",545,"No",14,8,0.571428571428571
"P51688","Yes",502,"No",79,66,0.835443037974684
"P51795","Yes",816,"No",39,27,0.692307692307692
"P51810","No",404,"No",34,22,0.647058823529412
"P52333","Yes",1124,"No",41,22,0.536585365853659
"P52701","Yes",1360,"No",129,61,0.472868217054264
"P53597","Yes",346,"No",12,10,0.833333333333333
"P54098","Yes",1239,"No",132,114,0.863636363636364
"P54136","Yes",660,"Yes",15,8,0.533333333333333
"P54277","Yes",932,"No",22,2,0.0909090909090909
"P54278","Yes",862,"No",69,32,0.463768115942029
"P54577","Yes",528,"Yes",19,11,0.578947368421053
"P54802","Yes",743,"No",111,96,0.864864864864865
"P54803","Yes",685,"No",112,101,0.901785714285714
"P54819","Yes",239,"No",15,8,0.533333333333333
"P54840","Yes",703,"No",24,7,0.291666666666667
"P54868","Yes",508,"No",16,15,0.9375
"P54886","Yes",795,"No",32,22,0.6875
"P55017","Yes",1021,"No",161,146,0.906832298136646
"P55072","Yes",806,"Yes",39,38,0.974358974358974
"P55084","Yes",474,"No",27,25,0.925925925925926
"P55157","Yes",894,"No",22,5,0.227272727272727
"P55211","Yes",416,"No",13,0,0
"P55809","Yes",520,"No",12,8,0.666666666666667
"P55895","Yes",527,"No",64,55,0.859375
"P58335","Yes",489,"No",15,10,0.666666666666667
"P60201","No",277,"No",82,78,0.951219512195122
"P60484","Yes",403,"No",227,222,0.977973568281938
"P60880","Yes",206,"No",26,18,0.692307692307692
"P60891","Yes",318,"No",33,32,0.96969696969697
"P61626","No",148,"No",13,4,0.307692307692308
"P61916","No",151,"No",13,12,0.923076923076923
"P61981","No",247,"No",13,10,0.769230769230769
"P62873","No",340,"No",47,34,0.723404255319149
"P63000","Yes",192,"No",21,20,0.952380952380952
"P63252","Yes",427,"No",53,51,0.962264150943396
"P69905","No",142,"NT",74,47,0.635135135135135
"P78381","Yes",396,"No",45,20,0.444444444444444
"P78527","No",1400,"Yes",51,0,0
"P78536","Yes",824,"No",10,0,0
"P78562","Yes",749,"No",165,139,0.842424242424242
"P80365","Yes",405,"No",14,10,0.714285714285714
"P80404","Yes",500,"No",13,10,0.769230769230769
"P84022","Yes",425,"No",40,37,0.925
"P98073","Yes",1019,"No",28,0,0
"P98155","Yes",873,"No",10,5,0.5
"P98164","Yes",1400,"No",37,2,0.0540540540540541
"P98172","No",346,"No",22,16,0.727272727272727
"Q00266","Yes",395,"No",20,20,1
"Q00597","No",558,"No",31,6,0.193548387096774
"Q01718","No",297,"No",27,20,0.740740740740741
"Q01726","No",317,"No",24,0,0
"Q01959","Yes",620,"No",10,5,0.5
"Q01968","Yes",901,"No",73,33,0.452054794520548
"Q02094","Yes",409,"No",14,10,0.714285714285714
"Q02318","Yes",531,"No",41,32,0.780487804878049
"Q03154","Yes",408,"No",10,2,0.2
"Q03252","No",620,"No",46,3,0.0652173913043478
"Q03393","No",145,"No",41,39,0.951219512195122
"Q03426","Yes",396,"Yes",40,39,0.975
"Q03431","No",593,"No",16,11,0.6875
"Q03519","Yes",686,"No",16,0,0
"Q04446","Yes",702,"No",40,28,0.7
"Q04656","Yes",1500,"No",239,39,0.163179916317992
"Q04671","Yes",838,"No",106,76,0.716981132075472
"Q05823","Yes",741,"No",16,3,0.1875
"Q06495","Yes",639,"No",18,8,0.444444444444444
"Q06609","Yes",339,"Yes",11,7,0.636363636363636
"Q07021","Yes",282,"No",11,4,0.363636363636364
"Q07837","Yes",685,"No",34,30,0.882352941176471
"Q07973","Yes",514,"No",22,11,0.5
"Q08357","Yes",652,"No",24,13,0.541666666666667
"Q09428","Yes",1581,"No",131,124,0.946564885496183
"Q10567","Yes",949,"No",10,4,0.4
"Q12791","Yes",1236,"No",23,16,0.695652173913043
"Q12840","Yes",1032,"No",97,38,0.391752577319588
"Q12882","Yes",1025,"No",18,7,0.388888888888889
"Q12887","Yes",443,"No",15,7,0.466666666666667
"Q13093","Yes",441,"No",11,0,0
"Q13144","Yes",721,"Yes",56,49,0.875
"Q13216","Yes",396,"No",14,13,0.928571428571429
"Q13231","Yes",466,"No",31,0,0
"Q13285","Yes",461,"No",51,48,0.941176470588235
"Q13286","Yes",438,"No",25,22,0.88
"Q13315","Yes",1400,"No",70,20,0.285714285714286
"Q13326","No",291,"No",11,7,0.636363636363636
"Q13472","Yes",1001,"Yes",12,2,0.166666666666667
"Q13485","Yes",552,"No",34,29,0.852941176470588
"Q13510","Yes",395,"No",48,39,0.8125
"Q13621","Yes",1099,"No",26,16,0.615384615384615
"Q13698","Yes",1873,"No",89,19,0.213483146067416
"Q13724","Yes",837,"No",20,6,0.3
"Q13825","No",339,"No",11,8,0.727272727272727
"Q14032","Yes",418,"No",13,4,0.307692307692308
"Q14117","Yes",519,"No",17,13,0.764705882352941
"Q14203","Yes",1278,"No",31,8,0.258064516129032
"Q14204","Yes",1400,"Yes",120,61,0.508333333333333
"Q14353","Yes",236,"No",38,33,0.868421052631579
"Q14376","Yes",348,"No",14,13,0.928571428571429
"Q14435","Yes",633,"No",17,13,0.764705882352941
"Q14573","No",2671,"No",18,3,0.166666666666667
"Q14654","Yes",390,"No",51,39,0.764705882352941
"Q14746","No",738,"Yes",11,1,0.0909090909090909
"Q14956","Yes",572,"No",12,0,0
"Q14CZ8","No",416,"No",15,9,0.6
"Q15031","Yes",903,"No",31,21,0.67741935483871
"Q15046","Yes",597,"Yes",23,15,0.652173913043478
"Q15049","Yes",377,"No",41,31,0.75609756097561
"Q15067","Yes",660,"No",14,9,0.642857142857143
"Q15303","Yes",1308,"No",11,3,0.272727272727273
"Q15306","Yes",451,"No",11,2,0.181818181818182
"Q15465","Yes",462,"No",36,29,0.805555555555556
"Q15526","Yes",300,"No",24,22,0.916666666666667
"Q15738","Yes",373,"No",34,8,0.235294117647059
"Q15796","Yes",467,"No",12,12,1
"Q16134","Yes",617,"No",100,94,0.94
"Q16518","Yes",533,"No",115,109,0.947826086956522
"Q16595","No",210,"No",10,6,0.6
"Q16620","Yes",822,"No",14,6,0.428571428571429
"Q16635","Yes",292,"No",23,23,1
"Q16678","Yes",543,"No",48,40,0.833333333333333
"Q16719","Yes",465,"No",11,8,0.727272727272727
"Q16795","Yes",377,"No",11,2,0.181818181818182
"Q16822","Yes",640,"No",13,0,0
"Q16832","Yes",855,"No",11,7,0.636363636363636
"Q16853","Yes",763,"No",13,0,0
"Q16854","Yes",277,"No",19,17,0.894736842105263
"Q2NKJ3","Yes",1217,"No",31,12,0.387096774193548
"Q2TAA5","Yes",492,"Yes",17,13,0.764705882352941
"Q30201","No",348,"No",10,5,0.5
"Q32P41","Yes",509,"Yes",13,1,0.0769230769230769
"Q330K2","No",333,"No",16,9,0.5625
"Q3T906","Yes",1256,"No",46,33,0.717391304347826
"Q495M3","Yes",483,"No",14,0,0
"Q4G176","Yes",576,"No",20,6,0.3
"Q4J6C6","Yes",727,"No",16,1,0.0625
"Q5F1R6","No",531,"No",10,2,0.2
"Q5JPH6","Yes",523,"No",20,15,0.75
"Q5JTZ9","Yes",985,"No",39,18,0.461538461538462
"Q5K651","Yes",1589,"No",67,28,0.417910447761194
"Q5S007","Yes",2527,"No",83,8,0.0963855421686747
"Q5SRE5","Yes",1749,"No",20,0,0
"Q5T440","Yes",356,"No",15,8,0.533333333333333
"Q5TEU4","Yes",345,"No",22,17,0.772727272727273
"Q5THJ4","Yes",1400,"Yes",17,2,0.117647058823529
"Q695T7","Yes",634,"No",16,8,0.5
"Q6NSJ0","Yes",714,"No",10,3,0.3
"Q6NUK1","Yes",477,"No",10,3,0.3
"Q6NVY1","No",386,"No",18,12,0.666666666666667
