"uniprotids","Entanglement","Length","Essential","Total_Mutations_n","Path_Mutations_m","p_hat_m_div_n"
"O95427","Yes",931,"No",23,12,0.521739130434783
"O95455","Yes",350,"No",10,7,0.7
"O95461","Yes",756,"No",10,4,0.4
"O95528","Yes",541,"No",27,12,0.444444444444444
"O95630","Yes",424,"No",10,7,0.7
"O95672","Yes",775,"No",27,15,0.555555555555556
"O95786","Yes",925,"No",23,5,0.217391304347826
"O95831","Yes",613,"No",61,39,0.639344262295082
"O95967","No",443,"No",17,13,0.764705882352941
"P00156","Yes",380,"NT",135,3,0.0222222222222222
"P00395","No",513,"NT",74,6,0.0810810810810811
"P00403","Yes",227,"NT",45,3,0.0666666666666667
"P00414","No",261,"NT",69,1,0.0144927536231884
"P00441","No",154,"Yes",101,101,1
"P00450","Yes",1065,"No",31,12,0.387096774193548
"P00492","Yes",218,"No",36,35,0.972222222222222
"P00734","Yes",622,"No",29,22,0.758620689655172
"P00797","Yes",406,"No",10,7,0.7
"P00846","No",226,"NT",168,16,0.0952380952380952
"P01111","Yes",189,"No",22,21,0.954545454545455
"P01112","Yes",189,"No",35,28,0.8
"P01116","Yes",189,"No",64,61,0.953125
"P01137","Yes",390,"No",15,11,0.733333333333333
"P01241","Yes",217,"No",17,11,0.647058823529412
"P01266","Yes",1368,"No",28,4,0.142857142857143
"P01889","No",362,"No",10,0,0
"P01911","No",266,"No",17,1,0.0588235294117647
"P02545","No",664,"No",207,206,0.995169082125604
"P02774","No",474,"No",12,4,0.333333333333333
"P02788","Yes",710,"No",14,0,0
"P03886","No",318,"NT",83,11,0.132530120481928
"P03905","Yes",459,"NT",60,2,0.0333333333333333
"P03915","Yes",603,"NT",159,9,0.0566037735849057
"P03923","No",174,"NT",58,10,0.172413793103448
"P03928","No",68,"NT",36,0,0
"P04062","Yes",536,"No",113,109,0.964601769911504
"P04637","Yes",393,"No",335,209,0.623880597014925
"P04798","Yes",512,"No",13,0,0
"P05093","Yes",508,"No",59,53,0.898305084745763
"P05164","Yes",745,"No",14,6,0.428571428571429
"P05186","Yes",524,"No",230,224,0.973913043478261
"P06213","Yes",1382,"No",44,36,0.818181818181818
"P06276","Yes",602,"No",13,9,0.692307692307692
"P06396","Yes",782,"No",34,5,0.147058823529412
"P06753","No",285,"No",20,19,0.95
"P06858","Yes",475,"No",71,62,0.873239436619718
"P07196","No",543,"No",22,17,0.772727272727273
"P07202","Yes",933,"No",45,27,0.6
"P07204","Yes",575,"No",15,2,0.133333333333333
"P07237","Yes",508,"No",17,2,0.117647058823529
"P07510","Yes",517,"No",11,7,0.636363636363636
"P07858","Yes",339,"No",17,0,0
"P07911","Yes",640,"No",106,92,0.867924528301887
"P07949","Yes",1114,"No",107,70,0.654205607476635
"P07951","No",284,"No",22,22,1
"P08034","No",283,"No",147,144,0.979591836734694
"P08069","Yes",1367,"No",29,17,0.586206896551724
"P08183","Yes",1280,"No",10,2,0.2
"P08237","Yes",780,"No",13,9,0.692307692307692
"P08243","Yes",561,"No",32,29,0.90625
"P08253","Yes",660,"No",12,5,0.416666666666667
"P08575","Yes",1306,"No",14,1,0.0714285714285714
"P08581","Yes",1390,"No",50,12,0.24
"P09619","Yes",1106,"No",103,19,0.184466019417476
"P09874","Yes",1014,"No",11,0,0
"P10253","Yes",952,"No",232,213,0.918103448275862
"P10600","Yes",412,"No",12,8,0.666666666666667
"P10644","Yes",381,"No",13,11,0.846153846153846
"P10827","Yes",490,"No",11,9,0.818181818181818
"P10916","No",166,"No",13,13,1
"P11055","Yes",1940,"No",63,38,0.603174603174603
"P11166","Yes",492,"No",113,106,0.938053097345133
"P11217","Yes",842,"No",50,45,0.9
"P11362","Yes",822,"No",109,92,0.844036697247706
"P11473","Yes",427,"No",19,16,0.842105263157895
"P11511","Yes",503,"No",15,7,0.466666666666667
"P11532","No",1400,"No",173,16,0.092485549132948
"P11586","Yes",935,"No",14,4,0.285714285714286
"P12081","Yes",509,"Yes",18,6,0.333333333333333
"P12109","Yes",1028,"No",179,56,0.312849162011173
"P12235","Yes",298,"No",14,11,0.785714285714286
"P12318","No",317,"No",10,0,0
"P12644","Yes",408,"No",12,5,0.416666666666667
"P12821","Yes",1306,"No",36,5,0.138888888888889
"P12830","No",882,"No",118,22,0.186440677966102
"P12883","Yes",1935,"No",375,358,0.954666666666667
"P13497","Yes",986,"No",14,8,0.571428571428571
"P13535","Yes",1937,"No",23,1,0.0434782608695652
"P13637","Yes",1013,"No",123,114,0.926829268292683
"P13686","Yes",325,"No",14,7,0.5
"P13797","Yes",630,"No",10,4,0.4
"P14136","No",432,"No",74,62,0.837837837837838
"P14780","Yes",707,"No",10,1,0.1
"P15882","Yes",459,"No",13,12,0.923076923076923
"P16234","Yes",1089,"No",27,2,0.0740740740740741
"P16410","No",223,"No",16,15,0.9375
"P16422","Yes",314,"No",25,4,0.16
"P16435","Yes",677,"No",17,14,0.823529411764706
"P16473","No",764,"No",53,45,0.849056603773585
"P17302","No",382,"No",46,45,0.978260869565217
"P17661","No",470,"No",44,40,0.909090909090909
"P18074","Yes",760,"Yes",32,25,0.78125
"P19438","No",455,"No",43,30,0.697674418604651
"P19878","Yes",526,"No",17,6,0.352941176470588
"P19971","Yes",482,"No",51,42,0.823529411764706
"P20594","Yes",1047,"No",34,32,0.941176470588235
"P20807","Yes",821,"No",107,98,0.91588785046729
"P21281","Yes",511,"Yes",15,9,0.6
"P21333","Yes",2647,"No",261,45,0.172413793103448
"P21359","Yes",1239,"No",262,238,0.908396946564885
"P21397","Yes",527,"No",10,4,0.4
"P21580","Yes",790,"No",34,2,0.0588235294117647
"P21802","Yes",821,"No",94,84,0.893617021276596
"P21810","No",368,"No",11,4,0.363636363636364
"P21817","Yes",1400,"No",60,46,0.766666666666667
"P21860","Yes",1342,"No",18,7,0.388888888888889
"P22223","No",829,"No",17,7,0.411764705882353
"P22314","Yes",1058,"Yes",36,2,0.0555555555555556
"P22413","Yes",925,"No",35,25,0.714285714285714
"P22607","Yes",806,"No",73,45,0.616438356164384
"P23142","No",703,"No",14,0,0
"P23229","Yes",1130,"No",14,1,0.0714285714285714
"P23258","Yes",451,"Yes",15,14,0.933333333333333
"P23352","Yes",680,"No",29,8,0.275862068965517
"P23415","Yes",457,"No",47,35,0.74468085106383
"P23786","Yes",658,"No",36,26,0.722222222222222
"P24043","Yes",1400,"No",44,10,0.227272727272727
"P24557","Yes",533,"No",20,4,0.2
"P24821","Yes",2201,"No",71,3,0.0422535211267606
"P25092","Yes",1073,"No",17,8,0.470588235294118
"P25189","No",248,"No",90,90,1
"P25445","No",335,"No",38,33,0.868421052631579
"P26196","Yes",483,"Yes",11,8,0.727272727272727
"P28340","Yes",1107,"Yes",27,3,0.111111111111111
"P28482","Yes",360,"No",14,13,0.928571428571429
"P29033","No",226,"No",135,126,0.933333333333333
"P29317","Yes",976,"No",26,4,0.153846153846154
"P29371","No",465,"No",10,5,0.5
"P29375","Yes",1690,"No",15,3,0.2
"P29474","Yes",1203,"No",19,2,0.105263157894737
"P29597","Yes",1187,"No",22,3,0.136363636363636
"P30279","Yes",289,"No",11,8,0.727272727272727
"P30793","No",250,"No",34,33,0.970588235294118
"P30968","No",328,"No",26,26,1
"P31040","Yes",664,"No",28,23,0.821428571428571
"P31415","Yes",396,"No",11,4,0.363636363636364
"P31939","Yes",592,"No",14,1,0.0714285714285714
"P32322","No",319,"No",20,16,0.8
"P34059","Yes",522,"No",117,106,0.905982905982906
"P35222","No",781,"No",30,22,0.733333333333333
"P35228","Yes",1153,"No",12,0,0
"P35499","Yes",1836,"No",121,103,0.851239669421488
"P35555","Yes",1271,"No",641,613,0.956318252730109
"P35556","No",1312,"No",143,41,0.286713286713287
"P35579","Yes",1960,"No",120,45,0.375
"P35749","Yes",1972,"No",28,6,0.214285714285714
"P36507","Yes",400,"No",33,21,0.636363636363636
"P36776","Yes",959,"Yes",77,8,0.103896103896104
"P36897","Yes",503,"No",58,50,0.862068965517241
"P37173","Yes",567,"No",108,99,0.916666666666667
"P38935","Yes",993,"No",53,32,0.60377358490566
"P40189","Yes",918,"No",16,2,0.125
"P40763","No",770,"No",107,84,0.785046728971963
"P40939","Yes",763,"No",27,17,0.62962962962963
"P41221","Yes",380,"No",19,9,0.473684210526316
"P41227","Yes",235,"Yes",29,26,0.896551724137931
"P41250","Yes",739,"Yes",44,26,0.590909090909091
"P41440","Yes",591,"No",11,1,0.0909090909090909
"P42224","No",750,"No",67,66,0.985074626865672
"P42263","Yes",894,"No",29,21,0.724137931034483
"P42336","Yes",1068,"No",80,74,0.925
"P42345","Yes",2549,"Yes",269,41,0.152416356877323
"P42695","Yes",1498,"Yes",25,1,0.04
"P42702","Yes",1097,"No",17,4,0.235294117647059
"P42898","Yes",656,"No",60,47,0.783333333333333
"P43026","Yes",501,"No",23,13,0.565217391304348
"P43235","Yes",329,"No",30,26,0.866666666666667
"P45452","Yes",471,"No",13,9,0.692307692307692
"P47989","Yes",1333,"No",26,1,0.0384615384615385
"P48651","Yes",473,"No",22,6,0.272727272727273
"P49279","Yes",550,"No",13,0,0
"P49454","No",1400,"No",24,0,0
"P49585","Yes",367,"No",21,8,0.380952380952381
"P49588","Yes",968,"Yes",38,16,0.421052631578947
"P49747","Yes",757,"No",139,127,0.913669064748201
"P49748","Yes",655,"No",148,142,0.959459459459459
"P49773","No",126,"No",11,11,1
"P49916","Yes",1009,"No",16,4,0.25
"P49917","Yes",911,"No",32,19,0.59375
"P50281","Yes",582,"No",12,2,0.166666666666667
"P50443","Yes",739,"No",33,26,0.787878787878788
"P50570","Yes",870,"Yes",45,29,0.644444444444444
"P50993","Yes",1020,"No",75,65,0.866666666666667
"P50995","No",505,"No",25,3,0.12
"P51451","Yes",505,"No",18,2,0.111111111111111
"P51530","Yes",1060,"Yes",21,5,0.238095238095238
"P51654","Yes",580,"No",53,5,0.0943396226415094
"P51690","Yes",589,"No",42,16,0.380952380952381
"P51795","Yes",816,"No",39,27,0.692307692307692
"P51798","Yes",805,"No",59,38,0.644067796610169
"P51812","Yes",740,"No",50,40,0.8
"P52732","Yes",1056,"Yes",45,7,0.155555555555556
"P52848","Yes",882,"No",10,4,0.4
"P53621","Yes",1224,"Yes",63,7,0.111111111111111
"P53634","Yes",463,"No",20,16,0.8
"P54098","Yes",1239,"No",132,114,0.863636363636364
"P54277","Yes",932,"No",22,2,0.0909090909090909
"P55017","Yes",1021,"No",161,146,0.906832298136646
"P55072","Yes",806,"Yes",39,38,0.974358974358974
"P55075","Yes",233,"No",12,10,0.833333333333333
"P55084","Yes",474,"No",27,25,0.925925925925926
"P55287","Yes",796,"No",21,8,0.380952380952381
"P56539","No",151,"No",20,17,0.85
"P57081","No",412,"No",17,4,0.235294117647059
"P57679","No",992,"No",40,6,0.15
"P57740","No",925,"Yes",14,8,0.571428571428571
"P58215","Yes",753,"No",13,0,0
"P58335","Yes",489,"No",15,10,0.666666666666667
"P60201","No",277,"No",82,78,0.951219512195122
"P60484","Yes",403,"No",227,222,0.977973568281938
"P60709","Yes",375,"Yes",101,101,1
"P60891","Yes",318,"No",33,32,0.96969696969697
"P61764","Yes",594,"No",156,112,0.717948717948718
"P61812","Yes",414,"No",18,12,0.666666666666667
"P61981","No",247,"No",13,10,0.769230769230769
"P62140","Yes",327,"Yes",11,11,1
"P62873","No",340,"No",47,34,0.723404255319149
"P63252","Yes",427,"No",53,51,0.962264150943396
"P68133","Yes",377,"No",171,171,1
"P78357","Yes",1384,"No",12,7,0.583333333333333
"P78381","Yes",396,"No",45,20,0.444444444444444
"P78504","Yes",1218,"No",89,37,0.415730337078652
"P78562","Yes",749,"No",165,139,0.842424242424242
"P84022","Yes",425,"No",40,37,0.925
"P98160","No",1400,"No",30,2,0.0666666666666667
"P98172","No",346,"No",22,16,0.727272727272727
"Q00872","Yes",1141,"No",25,8,0.32
"Q01453","No",160,"No",35,32,0.914285714285714
"Q02127","Yes",395,"No",12,6,0.5
"Q02224","Yes",1301,"Yes",12,2,0.166666666666667
"Q02643","No",423,"No",21,12,0.571428571428571
"Q02750","Yes",393,"No",43,38,0.883720930232558
"Q02809","Yes",727,"No",20,5,0.25
"Q02880","Yes",1626,"No",17,4,0.235294117647059
"Q03426","Yes",396,"Yes",40,39,0.975
"Q03431","No",593,"No",16,11,0.6875
"Q03519","Yes",686,"No",16,0,0
"Q04446","Yes",702,"No",40,28,0.7
"Q04771","Yes",509,"No",22,10,0.454545454545455
"Q06124","Yes",593,"No",143,132,0.923076923076923
"Q06187","Yes",659,"No",108,96,0.888888888888889
"Q06495","Yes",639,"No",18,8,0.444444444444444
"Q07001","Yes",517,"No",16,12,0.75
"Q07837","Yes",685,"No",34,30,0.882352941176471
"Q07864","Yes",2286,"Yes",45,9,0.2
"Q07889","Yes",1333,"No",112,64,0.571428571428571
"Q07890","Yes",1332,"No",81,10,0.123456790123457
"Q07973","Yes",514,"No",22,11,0.5
"Q08AM6","Yes",782,"No",10,4,0.4
"Q08J23","Yes",767,"No",14,4,0.285714285714286
"Q09013","Yes",629,"No",12,0,0
"Q12768","Yes",1159,"No",18,12,0.666666666666667
"Q12797","Yes",758,"No",12,1,0.0833333333333333
"Q12824","Yes",385,"Yes",16,13,0.8125
"Q12840","Yes",1032,"No",97,38,0.391752577319588
"Q12860","Yes",1018,"No",16,0,0
"Q13099","No",824,"No",18,0,0
"Q13216","Yes",396,"No",14,13,0.928571428571429
"Q13253","Yes",232,"No",27,23,0.851851851851852
"Q13326","No",291,"No",11,7,0.636363636363636
"Q13424","Yes",505,"No",16,1,0.0625
"Q13426","No",336,"No",12,4,0.333333333333333
"Q13485","Yes",552,"No",34,29,0.852941176470588
"Q13488","Yes",830,"No",22,7,0.318181818181818
"Q13496","Yes",603,"No",85,62,0.729411764705882
"Q13509","Yes",450,"No",51,47,0.92156862745098
"Q13510","Yes",395,"No",48,39,0.8125
"Q13535","No",2644,"Yes",38,3,0.0789473684210526
"Q13635","Yes",1447,"No",187,44,0.235294117647059
"Q13642","No",323,"No",37,26,0.702702702702703
"Q13683","Yes",1181,"No",13,0,0
"Q13698","Yes",1873,"No",89,19,0.213483146067416
"Q13702","No",412,"No",24,20,0.833333333333333
"Q14204","Yes",1400,"Yes",120,61,0.508333333333333
"Q14315","Yes",1325,"No",66,9,0.136363636363636
"Q14332","Yes",565,"No",14,4,0.285714285714286
"Q14392","Yes",662,"No",10,1,0.1
"Q14435","Yes",633,"No",17,13,0.764705882352941
"Q14563","Yes",771,"No",10,0,0
"Q14623","Yes",411,"No",26,23,0.884615384615385
"Q14626","Yes",422,"No",15,8,0.533333333333333
"Q14683","Yes",1233,"Yes",89,73,0.820224719101124
"Q14739","Yes",615,"No",19,10,0.526315789473684
"Q14746","No",738,"Yes",11,1,0.0909090909090909
"Q14807","Yes",665,"No",46,8,0.173913043478261
"Q14999","Yes",1698,"No",28,6,0.214285714285714
"Q15022","Yes",739,"No",17,5,0.294117647058824
"Q15029","Yes",972,"Yes",37,21,0.567567567567568
"Q15031","Yes",903,"No",31,21,0.67741935483871
"Q15042","Yes",981,"No",14,2,0.142857142857143
"Q15125","No",230,"No",38,29,0.763157894736842
"Q15149","No",1400,"No",22,2,0.0909090909090909
"Q15399","Yes",786,"No",20,2,0.1
"Q15413","Yes",1400,"No",16,0,0
"Q15465","Yes",462,"No",36,29,0.805555555555556
"Q15475","No",284,"No",17,15,0.882352941176471
"Q15738","Yes",373,"No",34,8,0.235294117647059
"Q15796","Yes",467,"No",12,12,1
"Q15813","Yes",527,"Yes",13,3,0.230769230769231
"Q15910","Yes",746,"No",55,33,0.6
"Q16134","Yes",617,"No",100,94,0.94
"Q16394","Yes",746,"No",50,38,0.76
"Q16572","Yes",532,"No",10,2,0.2
"Q16585","No",318,"No",19,17,0.894736842105263
"Q16586","Yes",387,"No",53,50,0.943396226415094
"Q16832","Yes",855,"No",11,7,0.636363636363636
"Q16854","Yes",277,"No",19,17,0.894736842105263
"Q2NKJ3","Yes",1217,"No",31,12,0.387096774193548
"Q2TBA0","Yes",621,"No",18,8,0.444444444444444
"Q30201","No",348,"No",10,5,0.5
"Q32P41","Yes",509,"Yes",13,1,0.0769230769230769
"Q38SD2","Yes",2015,"No",37,0,0
"Q3SYG4","Yes",887,"No",17,6,0.352941176470588
"Q3T906","Yes",1256,"No",46,33,0.717391304347826
"Q4ADV7","Yes",1423,"No",13,1,0.0769230769230769
"Q4J6C6","Yes",727,"No",16,1,0.0625
"Q4KMQ2","Yes",910,"No",14,0,0
"Q5H8C1","Yes",2179,"No",49,4,0.0816326530612245
"Q5JPH6","Yes",523,"No",20,15,0.75
"Q5JTZ9","Yes",985,"No",39,18,0.461538461538462
"Q5K651","Yes",1589,"No",67,28,0.417910447761194
"Q5NDL2","Yes",527,"No",10,3,0.3
"Q5S007","Yes",2527,"No",83,8,0.0963855421686747
"Q5SZK8","Yes",1400,"No",19,0,0
"Q5T1V6","Yes",619,"Yes",18,1,0.0555555555555556
"Q5VST9","Yes",1400,"NT",105,0,0
"Q5VTY9","No",493,"No",18,3,0.166666666666667
"Q6KC79","Yes",1204,"No",52,14,0.269230769230769
"Q6KF10","Yes",455,"No",21,1,0.0476190476190476
"Q6NUS6","Yes",607,"No",12,6,0.5
"Q6P1J6","Yes",1458,"No",30,0,0
"Q6P1X5","Yes",1199,"Yes",12,2,0.166666666666667
"Q6P4I2","Yes",378,"No",10,5,0.5
"Q6PHW0","Yes",289,"No",12,4,0.333333333333333
"Q6PI48","Yes",645,"No",32,24,0.75
"Q6PJG6","Yes",821,"No",32,6,0.1875
"Q6UVJ0","Yes",657,"Yes",11,1,0.0909090909090909
"Q6Y288","Yes",498,"No",10,4,0.4
"Q6ZMI3","Yes",551,"No",24,10,0.416666666666667
"Q70HW3","No",274,"No",12,3,0.25
"Q71U36","Yes",451,"No",173,172,0.994219653179191
"Q75V66","Yes",913,"No",37,28,0.756756756756757
"Q7LG56","Yes",351,"No",13,13,1
"Q7LGC8","Yes",479,"No",27,20,0.740740740740741
"Q7Z392","Yes",1133,"Yes",17,2,0.117647058823529
"Q7Z3V4","Yes",1068,"No",13,5,0.384615384615385
"Q7Z4L5","No",1316,"No",23,8,0.347826086956522
"Q7Z4S6","Yes",1674,"No",36,10,0.277777777777778
"Q7Z6J9","No",526,"Yes",31,8,0.258064516129032
"Q7Z7G8","Yes",1400,"No",16,1,0.0625
"Q7Z7M0","Yes",1245,"No",12,3,0.25
"Q86SQ4","Yes",1221,"No",18,1,0.0555555555555556
"Q86T65","No",1068,"No",23,3,0.130434782608696
"Q86UK5","Yes",1308,"No",34,3,0.0882352941176471
"Q86VV8","Yes",2226,"No",40,8,0.2
"Q86X52","Yes",802,"No",10,1,0.1
"Q86Y38","Yes",959,"No",18,2,0.111111111111111
"Q8IUD6","Yes",432,"No",12,0,0
"Q8IV33","Yes",1275,"No",13,2,0.153846153846154
"Q8IWX7","Yes",931,"No",23,6,0.260869565217391
"Q8IXL6","Yes",584,"No",31,14,0.451612903225806
"Q8IXQ5","Yes",586,"No",12,12,1
"Q8IZF0","Yes",1738,"No",77,69,0.896103896103896
"Q8N130","Yes",599,"No",27,10,0.37037037037037
"Q8N135","Yes",537,"No",14,7,0.5
"Q8N3U4","No",1231,"No",21,7,0.333333333333333
"Q8N653","Yes",840,"No",47,32,0.680851063829787
"Q8N6C5","Yes",1336,"No",48,3,0.0625
"Q8N960","Yes",986,"No",23,6,0.260869565217391
"Q8NB91","Yes",859,"No",50,3,0.06
"Q8NBL1","Yes",392,"No",10,4,0.4
"Q8NBT0","Yes",407,"No",12,6,0.5
"Q8NCE0","Yes",465,"Yes",11,4,0.363636363636364
"Q8NCH0","Yes",376,"No",16,6,0.375
"Q8NCM8","Yes",1400,"No",32,17,0.53125
"Q8NEZ3","Yes",1342,"No",33,21,0.636363636363636
"Q8NF91","No",1400,"No",18,2,0.111111111111111
"Q8NI27","Yes",1593,"Yes",22,18,0.818181818181818
"Q8TB36","Yes",358,"No",34,34,1
"Q8TCS8","Yes",783,"Yes",24,14,0.583333333333333
"Q8TCX1","Yes",351,"No",13,3,0.230769230769231
"Q8TD16","No",824,"No",110,30,0.272727272727273
"Q8TDX6","Yes",532,"No",19,2,0.105263157894737
"Q8TE56","Yes",1095,"No",14,3,0.214285714285714
"Q8TF17","Yes",1288,"No",34,12,0.352941176470588
"Q8WU10","Yes",500,"No",10,4,0.4
"Q8WUM0","Yes",1156,"Yes",17,2,0.117647058823529
"Q8WVQ1","Yes",401,"No",21,13,0.619047619047619
"Q8WXH0","No",1400,"No",32,0,0
"Q8WZ42","No",1400,"No",53,3,0.0566037735849057
"Q8WZA1","Yes",660,"No",39,33,0.846153846153846
"Q92562","Yes",907,"No",10,6,0.6
"Q92581","Yes",669,"No",27,8,0.296296296296296
"Q92621","Yes",2012,"Yes",17,2,0.117647058823529
"Q92743","Yes",480,"No",25,19,0.76
"Q92832","Yes",810,"No",11,0,0
"Q92878","Yes",1312,"No",19,5,0.263157894736842
"Q92887","Yes",1545,"No",37,11,0.297297297297297
"Q92889","Yes",916,"No",14,7,0.5
"Q92911","Yes",643,"No",14,10,0.714285714285714
"Q92959","Yes",643,"No",32,17,0.53125
"Q92963","Yes",219,"No",36,35,0.972222222222222
"Q93063","Yes",718,"No",32,13,0.40625
"Q93099","Yes",445,"No",136,129,0.948529411764706
"Q969S9","Yes",779,"No",23,1,0.0434782608695652
"Q969Y2","Yes",492,"No",21,11,0.523809523809524
"Q96AD5","Yes",504,"No",15,5,0.333333333333333
"Q96CU9","Yes",486,"No",15,8,0.533333333333333
"Q96CV9","No",577,"No",10,6,0.6
"Q96D31","No",301,"NT",14,7,0.5
"Q96DP5","Yes",389,"No",19,8,0.421052631578947
"Q96EX3","Yes",536,"No",17,8,0.470588235294118
"Q96FM1","No",320,"No",21,13,0.619047619047619
"Q96GM8","Yes",510,"No",22,11,0.5
"Q96H96","Yes",371,"No",13,8,0.615384615384615
"Q96HA7","No",1378,"Yes",32,2,0.0625
"Q96HP0","Yes",2047,"No",34,1,0.0294117647058824
"Q96I59","Yes",477,"No",17,8,0.470588235294118
"Q96JQ0","Yes",1400,"No",27,0,0
"Q96KG7","No",1140,"No",13,6,0.461538461538462
"Q96L58","Yes",329,"No",20,17,0.85
"Q96MT8","No",703,"No",10,0,0
"Q96PZ2","Yes",611,"No",41,6,0.146341463414634
"Q96Q42","Yes",1657,"No",25,11,0.44
"Q96RR1","Yes",684,"No",42,39,0.928571428571429
"Q96RY7","Yes",1462,"No",66,18,0.272727272727273
"Q96S42","Yes",347,"No",11,2,0.181818181818182
"Q96S44","Yes",253,"Yes",11,3,0.272727272727273
"Q96T60","Yes",521,"No",14,8,0.571428571428571
"Q99519","Yes",415,"No",33,26,0.787878787878788
"Q99567","Yes",741,"Yes",11,1,0.0909090909090909
"Q99707","Yes",1265,"No",23,7,0.304347826086957
"Q99715","Yes",1400,"No",61,1,0.0163934426229508
"Q99835","Yes",787,"No",18,9,0.5
"Q9BPU6","Yes",564,"No",11,0,0
"Q9BQ52","Yes",826,"Yes",18,8,0.444444444444444
"Q9BTV4","Yes",400,"No",19,1,0.0526315789473684
"Q9BTW9","No",1192,"Yes",44,14,0.318181818181818
"Q9BUB7","No",260,"No",11,3,0.272727272727273
"Q9BUK6","Yes",570,"Yes",22,9,0.409090909090909
"Q9BV79","Yes",373,"No",10,4,0.4
"Q9BW92","Yes",718,"Yes",18,10,0.555555555555556
"Q9BXW9","No",1451,"No",27,10,0.37037037037037
"Q9BYX4","Yes",1025,"No",142,37,0.26056338028169
"Q9BZD2","Yes",475,"No",21,9,0.428571428571429
"Q9BZG8","Yes",443,"No",19,6,0.315789473684211
"Q9BZW8","Yes",370,"No",10,0,0
"Q9C0K1","Yes",460,"No",13,5,0.384615384615385
"Q9GZU1","No",580,"No",11,5,0.454545454545455
